时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2020-01-02 16:00:00,1.36,0.58,585,0,50010,0,-0.77
2020-01-03 16:00:00,1.18,1.51,930,0,0,0,0.33
2020-01-06 16:00:00,0.8,1.13,0,-383.5,0,-8495,0.33
2020-01-07 16:00:00,1.55,1.33,200,0,0,0,-0.22
2020-01-08 16:00:00,0.38,0.11,0,-1225,0,0,-0.27
2020-01-09 16:00:00,1.65,0.43,325,0,0,0,-1.2
2020-01-10 16:00:00,1.63,0.18,0,-250,0,0,-1.43
2020-01-13 16:00:00,2.62,0.93,750,0,0,0,-1.65
2020-01-14 16:00:00,2.28,0.36,0,-575,0,0,-1.88
2020-01-15 16:00:00,1.71,-0.24,0,-600,0,0,-1.92
2020-01-16 16:00:00,1.28,-0.85,0,-606,9924,0,-2.1
2020-01-17 16:00:00,1.42,-0.66,186,0,0,0,-2.05
2020-01-20 16:00:00,2.18,-0.48,186,0,0,0,-2.6
2020-01-21 16:00:00,0.43,-1.87,0,-1395,0,0,-2.29
2020-01-22 16:00:00,0.86,-1.51,364,0,9564,0,-2.35
2020-01-23 16:00:00,-2.26,-3.54,0,-2035,0,0,-1.31
2020-02-03 16:00:00,-9.96,-9.3,0,-5754,9807,0,0.73
2020-02-04 16:00:00,-7.59,-6.61,2684,0,0,0,1.06
2020-02-05 16:00:00,-6.54,-6.53,82.26,0,0,-8742,0.01
2020-02-06 16:00:00,-4.8,-6,532,0,0,0,-1.26
2020-02-07 16:00:00,-4.8,-6.57,0,-570,0,0,-1.86
2020-02-10 16:00:00,-4.41,-7.03,0,-456,0,0,-2.74
2020-02-11 16:00:00,-3.52,-5.92,1102,0,0,0,-2.49
2020-02-12 16:00:00,-2.74,-6,0,-76,0,0,-3.35
2020-02-13 16:00:00,-3.34,-6.46,0,-456,0,0,-3.23
2020-02-14 16:00:00,-2.66,-5.01,1444,0,0,0,-2.41
2020-02-17 16:00:00,-0.47,-3.94,1067.99,0,0,-9012,-3.49
2020-02-18 16:00:00,-0.95,-4.49,0,-544,0,0,-3.57
2020-02-19 16:00:00,-1.11,-4.36,128,0,0,0,-3.29
2020-02-20 16:00:00,1.17,-3.24,1120,0,0,0,-4.36
2020-02-21 16:00:00,1.29,-3.35,0,-112.28,0,-9282,-4.58
2020-02-24 16:00:00,0.89,-4.26,0,-910,0,0,-5.1
2020-02-25 16:00:00,0.67,-4.75,0,-487,9012,0,-5.38
2020-02-26 16:00:00,-0.58,-4.91,0,-160,0,0,-4.36
2020-02-27 16:00:00,-0.29,-4.52,384,0,0,0,-4.24
2020-02-28 16:00:00,-3.82,-6.48,0,-1952,0,0,-2.77
2020-03-02 16:00:00,-0.66,-5.42,1055,0,8742,0,-4.79
2020-03-03 16:00:00,-0.13,-5.57,0,-147.96,0,-8964,-5.45
2020-03-04 16:00:00,0.45,-5.67,0,-96,0,0,-6.09
2020-03-05 16:00:00,2.69,-3.43,2240,0,0,0,-5.96
2020-03-06 16:00:00,1.02,-4.58,0,-1152,0,0,-5.54
2020-03-09 16:00:00,-2.43,-6.43,0,-1856,0,0,-4.1
2020-03-10 16:00:00,-0.34,-5.23,1203,0,8640,0,-4.91
2020-03-11 16:00:00,-1.66,-5.47,0,-243.85,0,-8850,-3.87
2020-03-12 16:00:00,-3.56,-5.51,0,-32,0,0,-2.02
2020-03-13 16:00:00,-4.91,-5.6,0,-97,9744,0,-0.73
2020-03-16 16:00:00,-9,-8.21,0,-2608.66,0,-8658,0.87
2020-03-17 16:00:00,-9.44,-9.59,0,-1379,9639,0,-0.17
2020-03-18 16:00:00,-11.24,-12.9,0,-3309,9401,0,-1.87
2020-03-19 16:00:00,-12.39,-15.49,0,-2590,8890,0,-3.54
2020-03-20 16:00:00,-10.82,-13.85,1641,0,9936,0,-3.4
2020-03-23 16:00:00,-13.82,-16.14,0,-2294,0,0,-2.69
2020-03-24 16:00:00,-11.51,-13.29,2852,0,0,0,-2.01
2020-03-25 16:00:00,-9.13,-11.7,1591,0,0,-9002,-2.83
2020-03-26 16:00:00,-9.73,-10.66,1045,0,0,0,-1.03
2020-03-27 16:00:00,-9.44,-10.12,536.74,0,0,-9261,-0.75
2020-03-30 16:00:00,-10.31,-11.08,0,-964,9009,0,-0.86
2020-03-31 16:00:00,-10.02,-11.85,0,-770,0,0,-2.03
2020-04-01 16:00:00,-10.29,-11.36,495,0,0,0,-1.19
2020-04-02 16:00:00,-8.84,-10.92,440,0,0,0,-2.28
2020-04-03 16:00:00,-9.36,-12.9,0,-1980,0,0,-3.91
2020-04-07 16:00:00,-7.29,-11.41,1485,0,0,0,-4.44
2020-04-08 16:00:00,-7.72,-11.96,0,-550,0,0,-4.59
2020-04-09 16:00:00,-7.42,-12.18,0,-220,0,0,-5.14
2020-04-10 16:00:00,-7.99,-11.91,275,0,0,0,-4.26
2020-04-13 16:00:00,-8.38,-13.01,0,-1100,0,0,-5.05
2020-04-14 16:00:00,-6.61,-11.52,1485,0,0,0,-5.26
2020-04-15 16:00:00,-7.3,-11.47,55,0,0,0,-4.5
